"year","week","date","index"
2014,40,2014.7397260274,1
2014,41,2014.75890410959,2
2014,42,2014.77808219178,3
2014,43,2014.79726027397,4
2014,44,2014.81643835616,5
2014,45,2014.83561643836,6
2014,46,2014.85479452055,7
2014,47,2014.87397260274,8
2014,48,2014.89315068493,9
2014,49,2014.91232876712,10
2014,50,2014.93150684932,11
2014,51,2014.95068493151,12
2014,52,2014.9698630137,13
2015,1,2015.00821917808,14
2015,2,2015.02739726027,15
2015,3,2015.04657534247,16
2015,4,2015.06575342466,17
2015,5,2015.08493150685,18
2015,6,2015.10410958904,19
2015,7,2015.12328767123,20
2015,8,2015.14246575342,21
2015,9,2015.16164383562,22
2015,10,2015.18082191781,23
2015,11,2015.2,24
2015,12,2015.21917808219,25
2015,13,2015.23835616438,26
2015,14,2015.25753424658,27
2015,15,2015.27671232877,28
2015,16,2015.29589041096,29
2015,17,2015.31506849315,30
2015,18,2015.33424657534,31
2015,19,2015.35342465753,32
2015,20,2015.37260273973,33
2015,21,2015.39178082192,34
2015,22,2015.41095890411,35
2015,23,2015.4301369863,36
2015,24,2015.44931506849,37
2015,25,2015.46849315068,38
2015,26,2015.48767123288,39
2015,27,2015.50684931507,40
2015,28,2015.52602739726,41
2015,29,2015.54520547945,42
2015,30,2015.56438356164,43
2015,31,2015.58356164384,44
2015,32,2015.60273972603,45
2015,33,2015.62191780822,46
2015,34,2015.64109589041,47
2015,35,2015.6602739726,48
2015,36,2015.67945205479,49
2015,37,2015.69863013699,50
2015,38,2015.71780821918,51
2015,39,2015.73698630137,52
2015,40,2015.75616438356,53
2015,41,2015.77534246575,54
2015,42,2015.79452054795,55
2015,43,2015.81369863014,56
2015,44,2015.83287671233,57
2015,45,2015.85205479452,58
2015,46,2015.87123287671,59
2015,47,2015.8904109589,60
2015,48,2015.9095890411,61
2015,49,2015.92876712329,62
2015,50,2015.94794520548,63
2015,51,2015.96712328767,64
2015,52,2015.98630136986,65
2015,53,2016.00546448087,66
2016,1,2016.00546448087,67
2016,2,2016.02459016393,68
2016,3,2016.04371584699,69
2016,4,2016.06284153005,70
2016,5,2016.08196721311,71
2016,6,2016.10109289617,72
2016,7,2016.12021857923,73
2016,8,2016.1393442623,74
2016,9,2016.15846994536,75
2016,10,2016.17759562842,76
2016,11,2016.19672131148,77
2016,12,2016.21584699454,78
2016,13,2016.2349726776,79
2016,14,2016.25409836066,80
2016,15,2016.27322404372,81
2016,16,2016.29234972678,82
2016,17,2016.31147540984,83
2016,18,2016.3306010929,84
2016,19,2016.34972677596,85
2016,20,2016.36885245902,86
2016,21,2016.38797814208,87
2016,22,2016.40710382514,88
2016,23,2016.4262295082,89
2016,24,2016.44535519126,90
2016,25,2016.46448087432,91
2016,26,2016.48360655738,92
2016,27,2016.50273224044,93
2016,28,2016.5218579235,94
